ACS Nano,Generalist,
Advanced Materials,else,
Advanced Optical Technologies,Optics,Adv. Opt. Technol.
Angewandte Chemie International Edition,Chemistry,
Applied Optics,Optics,
Biomedical Optics Express,Optics,Biomed. Opt. Express
Biophysical Journal,Biophysics,Biophysical J.
Biopolymers,Biophysics,
British Journal of Educational Psychology,else,
Cell,Biophysics,
ChemPhysChem,Chemistry,
Chemical Reviews,Chemistry,
Computer Science Education,else,
European Biophysics Journal,Biophysics,
Frontiers in Cellular Neuroscience,Biophysics,
IEEE Transactions on Image Processing,Optics,
Journal of Biological Chemistry,Biophysics,
Journal of Biomedical Optics,Optics,
Journal of Biophotonics,Optics,
Journal of Cell Science,Biophysics,
Journal of Microscopy,Optics,J. Microsc.
Journal of Modern Optics,Optics,
Journal of Neuroscience,Biophysics,
Journal of Physics D: Applied Physics,Optics,
Journal of the American Chemical Society,Chemistry,
Journal of the Optical Society of America A,Optics,JOSA A
Langmuir,Chemistry,
Methods,Generalist,
Molecular Biology of the Cell,Biophysics,
Nano Letters,Generalist,
Nature,Generalist,
Nature Biotechnology,Biophysics,
Nature Communications,Generalist,Nat. Commun.
Nature Methods,Generalist,Nat. Methods
Nature Neuroscience,Biophysics,Nat. Neurosci.
Nature Photonics,Optics,Nat. Photonics
Nature Protocols,Generalist,Nat. Protocols
Nature Reviews Molecular Cell Biology,Biophysics,
Neuron,Biophysics,
New Journal of Physics,Optics,
Optica,Optics,
Optics Communications,Optics,Opt. Comm.
Optics Express,Optics,Opt. Express
Optics Letters,Optics,Opt. Lett.
PLOS ONE,Biophysics,
PLoS ONE,Biophysics,
Physical Review E,Optics,
Physical Review Letters,Optics,PRL
Proceedings of the National Academy of Sciences,Generalist,PNAS
Review of Scientific Instruments,Optics,
Science,Generalist,
Scientific Reports,Generalist,Sci. Rep.
Soft Matter,Chemistry,
The American Statistician,else,
The Journal of Neuroscience,Biophysics,
Viruses,Biophysics,
Neurophotonics,Optics,
ACM SIGCSE Bulletin,else,
ACS Photonics,Optics,
